# avTemp, avVisc, modeltime, Nu, step, surfVRMS, VRMS, yielding
5.006261235927397246e-01,2.358266723517044284e+03,5.127923448781418654e-04,1.020169405391500694e+00,1.100000000000000000e+02,1.952794840764178375e+01,3.585840504268632003e+02,7.627317546146997196e-02
5.007556168418572096e-01,2.336529317496739623e+03,5.632788017905149052e-04,1.023073580491366652e+00,1.200000000000000000e+02,2.056593602030260826e+01,3.302370518741809065e+02,7.769662527992221568e-02
5.009066513985869218e-01,2.314314506645028359e+03,6.190669167485504838e-04,1.026483448580233437e+00,1.300000000000000000e+02,2.167363023318083748e+01,3.040500379457363351e+02,7.893922193204334914e-02
5.010799669114250898e-01,2.291326884302323379e+03,6.798257455526652898e-04,1.030435128712692050e+00,1.400000000000000000e+02,2.283918998009090018e+01,2.809679651860803915e+02,8.061737313665359728e-02
5.012749954517061735e-01,2.268414281026893605e+03,7.448681112912139673e-04,1.034940774629443228e+00,1.500000000000000000e+02,2.405158626925793541e+01,2.612370891680334353e+02,8.275669635579821493e-02
5.014907068825267267e-01,2.245593403301421858e+03,8.134192327496858567e-04,1.040002958054743409e+00,1.600000000000000000e+02,2.531312785740655968e+01,2.446131534713968563e+02,8.439792078897169481e-02
5.017257417659030105e-01,2.223251029507544445e+03,8.848066709650084056e-04,1.045624753428561649e+00,1.700000000000000000e+02,2.661295682362520765e+01,2.306031441367294690e+02,8.595625778049940935e-02
5.019792789708924508e-01,2.201387305767066209e+03,9.585991822947615088e-04,1.051823059412595907e+00,1.800000000000000000e+02,2.794961757686725434e+01,2.186485182228101394e+02,8.754774828941100373e-02
5.022511248865393352e-01,2.179801814177482356e+03,1.034626332803800872e-03,1.058637316694074348e+00,1.900000000000000000e+02,2.933323872467844140e+01,2.082516491832791417e+02,8.917992897763928062e-02
5.025417106381505628e-01,2.158175667864240950e+03,1.112919196253583454e-03,1.066132263353143594e+00,2.000000000000000000e+02,3.077813914343652613e+01,1.990449736715042945e+02,9.113161828243945828e-02
