# avTemp, avVisc, modeltime, Nu, step, surfVRMS, VRMS, yielding
5.012890188957663806e-01,2.713347588295196601e+03,7.501558874320141210e-04,1.021714460955785109e+00,1.500000000000000000e+02,1.409037085144703028e+01,2.563772271886272733e+02,5.442849114323479454e-02
5.015082320832556784e-01,2.694883087467865607e+03,8.197076933174322509e-04,1.024594250472905310e+00,1.600000000000000000e+02,1.464673667823725012e+01,2.395065627808570241e+02,5.583160115781118232e-02
5.017472349327621872e-01,2.677202057265583790e+03,8.922113516833323713e-04,1.027734836817109754e+00,1.700000000000000000e+02,1.520111437881551630e+01,2.252285059547091350e+02,5.666276499497385766e-02
5.020053090105314197e-01,2.660300139067258897e+03,9.672445056243093734e-04,1.031131148633910755e+00,1.800000000000000000e+02,1.574975525634530626e+01,2.129776119863581698e+02,5.741480561162353585e-02
5.022822840047531656e-01,2.644274476568697082e+03,1.044653396700345521e-03,1.034788715341762533e+00,1.900000000000000000e+02,1.629131171462745442e+01,2.022510109684264137e+02,5.828967497179577545e-02
5.025786032053657371e-01,2.628761412052198466e+03,1.124482390738463502e-03,1.038722448928806497e+00,2.000000000000000000e+02,1.682885641012085998e+01,1.926658495416074857e+02,5.902287777715575778e-02
5.028949514268691301e-01,2.613593768160790205e+03,1.206856208008826601e-03,1.042953302706956187e+00,2.100000000000000000e+02,1.736601427996374625e+01,1.839888190466531626e+02,6.006578870132524284e-02
5.032321582964336404e-01,2.598664432489158116e+03,1.291937367375511686e-03,1.047506904347068168e+00,2.200000000000000000e+02,1.790743884222976945e+01,1.760893933391777466e+02,6.093839704313562533e-02
5.035909088788276255e-01,2.583774322046830093e+03,1.379821808288088413e-03,1.052408259591137485e+00,2.300000000000000000e+02,1.845539612062959023e+01,1.689177935991099275e+02,6.154424936634750321e-02
5.039714796515876172e-01,2.569174118360803732e+03,1.470493928528261024e-03,1.057678586862582426e+00,2.400000000000000000e+02,1.900867758828198362e+01,1.624580655170828152e+02,6.238671583958866479e-02
5.043736656524882012e-01,2.554620734736904069e+03,1.563824119559587391e-03,1.063334322595221870e+00,2.500000000000000000e+02,1.957396117921059542e+01,1.567005513371067877e+02,6.303627409230871947e-02
5.047968286050037445e-01,2.540209990829474918e+03,1.659594071176296540e-03,1.069387674349622452e+00,2.600000000000000000e+02,2.014953418999047585e+01,1.516111476621947816e+02,6.386969651122416380e-02
5.052400999155616246e-01,2.525693777612873873e+03,1.757544532948271659e-03,1.075849370656098536e+00,2.700000000000000000e+02,2.074171136354368628e+01,1.471382167557561615e+02,6.466921191026472893e-02
5.057026778237869724e-01,2.511190915027528717e+03,1.857423052540267032e-03,1.082730954005958646e+00,2.800000000000000000e+02,2.134944634961675192e+01,1.432037842602448450e+02,6.549660745615450141e-02
5.061838478918787576e-01,2.496599792490511390e+03,1.959019291781641161e-03,1.090047462161085612e+00,2.900000000000000000e+02,2.197510364949759065e+01,1.397271248086085507e+02,6.634133542609806089e-02
5.066830589317905531e-01,2.482037915494977369e+03,2.062186810711603892e-03,1.097819465930570670e+00,3.000000000000000000e+02,2.261861042916839892e+01,1.366251322557528738e+02,6.732471570123285676e-02
