# avTemp, avVisc, modeltime, Nu, step, surfVRMS, VRMS, yielding
5.005212720348490851e-01,3.282130419867848559e+03,4.703034830121915902e-04,1.008105453854764244e+00,1.000000000000000000e+02,7.275391612271654651e+00,3.818921378714163097e+02,1.475238483593325871e-02
5.006333941092515616e-01,3.272309496968919575e+03,5.165117763431455742e-04,1.009073053126622321e+00,1.100000000000000000e+02,7.482981952628279032e+00,3.526372234144038202e+02,1.601609792770907967e-02
5.007653720659727137e-01,3.261920113014376511e+03,5.678425526488716955e-04,1.010181481189060371e+00,1.200000000000000000e+02,7.695188038517846607e+00,3.239104636775824702e+02,1.680054977061479562e-02
5.009195869393496814e-01,3.251172930207808804e+03,6.246500039367851743e-04,1.011446526433576354e+00,1.300000000000000000e+02,7.908991746199080630e+00,2.973622538072874590e+02,1.779599668490561629e-02
5.010967676919272362e-01,3.240199298940624885e+03,6.865902278679519898e-04,1.012868691661122256e+00,1.400000000000000000e+02,8.120895046954791141e+00,2.739416857230943378e+02,1.895722578814485609e-02
5.012964699569613103e-01,3.229021124733206761e+03,7.529998754505550038e-04,1.014439867722434663e+00,1.500000000000000000e+02,8.328764438242222568e+00,2.538822373486847539e+02,1.971680968989430321e-02
5.015175882141613695e-01,3.218168233074196905e+03,8.230930473685837750e-04,1.016147074052488941e+00,1.600000000000000000e+02,8.527079445920966450e+00,2.369239462910562963e+02,2.052838831877709658e-02
5.017586788338713744e-01,3.207341304622329517e+03,8.961944512254607555e-04,1.017977787643659537e+00,1.700000000000000000e+02,8.717503684897545568e+00,2.225700204116119494e+02,2.137990543604356697e-02
5.020191525778201491e-01,3.196859733449910436e+03,9.718873174649147626e-04,1.019924692341018346e+00,1.800000000000000000e+02,8.897877406713661230e+00,2.102055233817322915e+02,2.215003850860353465e-02
5.022989064512112245e-01,3.186620986134531449e+03,1.050019422749056807e-03,1.021986220328420680e+00,1.900000000000000000e+02,9.068894430816289542e+00,1.993867719079224514e+02,2.275438949473944372e-02
5.025983270792593327e-01,3.176696941827933642e+03,1.130610478375795348e-03,1.024165301918333437e+00,2.000000000000000000e+02,9.231093146718798437e+00,1.897062101171217705e+02,2.358179232717602311e-02
5.029178260974914716e-01,3.166963144402850503e+03,1.213819720736460843e-03,1.026469103483992340e+00,2.100000000000000000e+02,9.386932780099435547e+00,1.809200280021253207e+02,2.406029934651592039e-02
5.032587002109902841e-01,3.157518469281143553e+03,1.299835688186388354e-03,1.028906005887730180e+00,2.200000000000000000e+02,9.535370652343223341e+00,1.729062040496522457e+02,2.458929418596063343e-02
5.036215099825891439e-01,3.148127007829662034e+03,1.388755625465308433e-03,1.031482374906070421e+00,2.300000000000000000e+02,9.678658223547234485e+00,1.656205822188490231e+02,2.526523200428709010e-02
5.040064723933915802e-01,3.138886473352693429e+03,1.480564738129043966e-03,1.034201966847509757e+00,2.400000000000000000e+02,9.817143210802459663e+00,1.590435196895941203e+02,2.578292385387474447e-02
